algorithm_name,input_size,time_ns,memory_kb,date_run
LinearSearch,100,701700,2874,2026-08-27T04:18:12.354217
BinarySearch,100,22000,3404,2026-08-27T04:18:12.420232500
LinearSearch,500,67100,3404,2026-08-27T04:18:12.447239600
BinarySearch,500,2000,3404,2026-08-27T04:18:12.458241300
LinearSearch,1000,69500,3404,2026-08-27T04:18:12.933343400
BinarySearch,1000,1633,3404,2026-08-27T04:18:12.977351900
LinearSearch,5000,19096333,3514,2026-08-27T04:18:13.230407600
BinarySearch,5000,4433,3514,2026-08-27T04:18:13.313408900
LinearSearch,10000,657800,3760,2026-08-27T04:18:13.328631600
BinarySearch,10000,2033,3760,2026-08-27T04:18:13.338273400
SelectionSort,100,4981133,3860,2026-08-27T04:18:13.435684900
InsertionSort,100,3159466,3860,2026-08-27T04:18:13.508700700
MergeSort,100,1363600,3860,2026-08-27T04:18:13.518703
QuickSort,100,2959266,3860,2026-08-27T04:18:13.529704500
SelectionSort,500,5606400,4368,2026-08-27T04:18:13.650172
InsertionSort,500,6185100,4368,2026-08-27T04:18:13.779196400
MergeSort,500,21015566,4368,2026-08-27T04:18:13.791199100
QuickSort,500,472933,4368,2026-08-27T04:18:13.802418400
SelectionSort,1000,993233,5494,2026-08-27T04:18:13.825414800
InsertionSort,1000,1330266,5494,2026-08-27T04:18:13.865424600
MergeSort,1000,308266,5494,2026-08-27T04:18:13.889044600
QuickSort,1000,235233,5494,2026-08-27T04:18:13.902047700
SelectionSort,5000,27717566,8061,2026-08-27T04:18:15.463205900
InsertionSort,5000,208161533,8061,2026-08-27T04:18:15.790633300
MergeSort,5000,4302100,8061,2026-08-27T04:18:15.860648100
QuickSort,5000,870400,8061,2026-08-27T04:18:15.899655900
SelectionSort,10000,275012900,10799,2026-08-27T04:18:19.268218700
InsertionSort,10000,347845100,10799,2026-08-27T04:18:19.456651300
MergeSort,10000,13003766,10799,2026-08-27T04:18:19.467656200
QuickSort,10000,3719433,10799,2026-08-27T04:18:19.476659900
HashTableInsert,100,3178566,10799,2026-08-27T04:18:19.502663500
HashTableInsert,500,2339200,10799,2026-08-27T04:18:19.524667200
HashTableInsert,1000,559066,11166,2026-08-27T04:18:19.551672500
HashTableInsert,5000,243190933,12335,2026-08-27T04:18:20.294457500
HashTableInsert,10000,2753792966,14895,2026-08-27T04:18:28.574127600
BSTInsert,100,1406733,14895,2026-08-27T04:18:28.610136400
BSTSearch,100,5966,14895,2026-08-27T04:18:28.622138700
BSTInsert,500,5753266,14895,2026-08-27T04:18:28.651144900
BSTSearch,500,4666,14895,2026-08-27T04:18:28.662148300
BSTInsert,1000,3450600,15407,2026-08-27T04:18:28.696154700
BSTSearch,1000,6033,15407,2026-08-27T04:18:28.731161800
BSTInsert,5000,1392800,15919,2026-08-27T04:18:28.761168300
BSTSearch,5000,5000,15919,2026-08-27T04:18:28.769171400
BSTInsert,10000,3003833,17455,2026-08-27T04:18:28.788173700
BSTSearch,10000,9766,17455,2026-08-27T04:18:28.797179600
HeapInsert,100,96833,17455,2026-08-27T04:18:28.813180600
HeapExtract,100,396900,17455,2026-08-27T04:18:28.820182200
HeapInsert,500,144900,17455,2026-08-27T04:18:28.832183800
HeapExtract,500,900233,17455,2026-08-27T04:18:28.840186600
HeapInsert,1000,264766,17455,2026-08-27T04:18:28.851187600
HeapExtract,1000,629733,17455,2026-08-27T04:18:28.859190300
HeapInsert,5000,1412033,18479,2026-08-27T04:18:28.877194100
HeapExtract,5000,1791600,18479,2026-08-27T04:18:28.885196400
HeapInsert,10000,1678866,19503,2026-08-27T04:18:28.911201200
HeapExtract,10000,3498033,19503,2026-08-27T04:18:28.919204500
BFS,10,1129233,21039,2026-08-27T04:18:28.963212300
DFS,10,35166,21039,2026-08-27T04:18:28.971213800
Dijkstra,10,3766000,21039,2026-08-27T04:18:28.980217700
Kruskal,10,3502600,21039,2026-08-27T04:18:28.988218
BFS,20,34766,22575,2026-08-27T04:18:29.006223100
DFS,20,25233,22575,2026-08-27T04:18:29.015224100
Dijkstra,20,799366,22575,2026-08-27T04:18:29.023224300
Kruskal,20,433766,22575,2026-08-27T04:18:29.030227
BFS,30,53400,23599,2026-08-27T04:18:29.043229900
DFS,30,38066,23599,2026-08-27T04:18:29.054233700
Dijkstra,30,460533,23599,2026-08-27T04:18:29.062235100
Kruskal,30,752233,23599,2026-08-27T04:18:29.070237300
BFS,50,96833,24190,2026-08-27T04:18:29.085238700
DFS,50,63400,24190,2026-08-27T04:18:29.093242300
Dijkstra,50,287000,24190,2026-08-27T04:18:29.105243800
Kruskal,50,406333,24190,2026-08-27T04:18:29.117245800
