source_library_id,destination_library_id,distance,travel_time
1,2,25.0,0.5
1,5,5.0,0.2
1,3,15.0,0.4
1,4,35.0,0.8
1,16,165.0,2.5
1,6,250.0,3.5
1,20,135.0,2.0
2,3,20.0,0.5
2,16,150.0,2.3
2,26,200.0,3.0
3,4,30.0,0.7
3,24,60.0,1.0
4,16,140.0,2.2
5,16,160.0,2.4
6,7,65.0,1.2
6,8,25.0,0.5
6,9,50.0,1.0
6,10,65.0,1.3
6,36,190.0,3.0
6,31,390.0,5.5
6,41,520.0,7.0
6,46,520.0,7.5
7,9,40.0,0.8
8,9,30.0,0.6
9,10,40.0,0.8
11,12,10.0,0.2
11,13,60.0,1.0
11,14,95.0,1.8
11,16,130.0,2.0
11,6,205.0,3.2
12,13,55.0,1.0
13,14,45.0,0.9
14,15,110.0,2.2
15,16,280.0,4.5
16,17,65.0,1.2
16,18,55.0,1.0
16,19,50.0,1.0
16,20,15.0,0.3
17,18,30.0,0.6
18,19,25.0,0.5
19,20,40.0,0.8
20,21,190.0,3.0
21,22,75.0,1.5
21,23,95.0,1.8
21,24,55.0,1.0
21,25,50.0,1.0
22,23,55.0,1.0
23,24,45.0,0.9
24,25,30.0,0.6
25,1,50.0,1.0
26,27,80.0,1.5
26,28,120.0,2.2
26,29,130.0,2.5
26,30,60.0,1.2
27,28,60.0,1.2
27,30,50.0,1.0
28,29,35.0,0.7
29,30,80.0,1.5
30,21,120.0,2.2
31,32,95.0,1.8
31,33,130.0,2.5
31,34,35.0,0.7
31,35,50.0,1.0
31,36,190.0,3.0
32,33,60.0,1.2
32,40,200.0,3.5
33,34,80.0,1.5
34,35,30.0,0.6
35,36,160.0,2.8
36,37,60.0,1.2
36,38,50.0,1.0
36,39,115.0,2.0
36,40,165.0,2.8
37,38,35.0,0.7
37,40,110.0,2.0
38,39,80.0,1.5
39,40,85.0,1.5
40,31,165.0,2.8
41,42,55.0,1.0
41,43,185.0,3.5
41,44,175.0,3.2
41,45,120.0,2.2
42,43,150.0,2.8
43,44,35.0,0.7
44,45,70.0,1.3
45,41,120.0,2.2
46,47,100.0,2.0
46,48,130.0,2.5
46,49,75.0,1.5
46,50,80.0,1.8
47,48,60.0,1.2
47,49,50.0,1.0
48,50,55.0,1.0
49,50,30.0,0.6
50,46,80.0,1.8
31,41,320.0,4.5
6,36,190.0,3.0
1,21,190.0,3.0
26,21,170.0,2.8
31,46,350.0,5.0
