patron_id,book_id,request_type,urgency,status,created_at
41,8,BORROW,5,PENDING,2026-02-27T10:00:00
48,7,RESERVE,9,PENDING,2026-06-01T14:00:00
3,2,BORROW,4,PENDING,2026-05-10T08:00:00
36,13,RESERVE,9,PROCESSING,2026-02-26T15:00:00
38,18,BORROW,3,COMPLETED,2026-04-19T13:00:00
18,10,BORROW,6,PENDING,2026-01-24T14:00:00
7,23,RETURN,10,PROCESSING,2026-01-12T15:00:00
35,8,RETURN,2,COMPLETED,2026-03-17T13:00:00
37,13,RESERVE,2,PENDING,2026-06-19T11:00:00
50,19,BORROW,4,PENDING,2026-04-08T12:00:00
30,41,RETURN,3,PROCESSING,2026-04-01T11:00:00
43,18,RESERVE,2,COMPLETED,2026-06-12T10:00:00
35,47,BORROW,3,PROCESSING,2026-04-08T12:00:00
41,45,RESERVE,4,COMPLETED,2026-03-25T08:00:00
15,3,RETURN,7,PROCESSING,2026-01-17T11:00:00
37,46,RETURN,4,COMPLETED,2026-05-08T14:00:00
42,30,BORROW,5,PENDING,2026-03-05T16:00:00
35,17,RESERVE,10,PROCESSING,2026-05-30T14:00:00
24,15,BORROW,9,PROCESSING,2026-01-24T08:00:00
8,10,RESERVE,3,COMPLETED,2026-04-19T09:00:00
25,25,RESERVE,8,COMPLETED,2026-03-06T16:00:00
1,44,RESERVE,2,COMPLETED,2026-05-18T12:00:00
50,42,RETURN,2,PROCESSING,2026-04-22T10:00:00
30,1,RESERVE,5,COMPLETED,2026-02-15T16:00:00
7,41,RETURN,9,COMPLETED,2026-02-20T10:00:00
24,49,BORROW,9,COMPLETED,2026-01-01T13:00:00
32,2,BORROW,6,PROCESSING,2026-03-03T08:00:00
16,37,BORROW,2,COMPLETED,2026-05-05T09:00:00
49,35,BORROW,3,COMPLETED,2026-05-02T16:00:00
11,17,RESERVE,10,PROCESSING,2026-02-24T16:00:00
49,47,RESERVE,4,COMPLETED,2026-03-21T14:00:00
43,42,RETURN,8,COMPLETED,2026-04-26T09:00:00
16,15,BORROW,6,PENDING,2026-05-31T16:00:00
15,38,BORROW,1,PENDING,2026-06-11T08:00:00
15,5,BORROW,6,PENDING,2026-05-12T11:00:00
18,43,RETURN,4,COMPLETED,2026-02-03T15:00:00
16,31,RETURN,4,PENDING,2026-01-25T14:00:00
23,28,RETURN,8,COMPLETED,2026-01-14T09:00:00
4,26,RESERVE,6,PENDING,2026-03-05T11:00:00
13,35,RETURN,3,PROCESSING,2026-02-16T12:00:00
30,16,BORROW,8,COMPLETED,2026-01-26T08:00:00
42,35,BORROW,2,PENDING,2026-02-12T14:00:00
32,31,BORROW,7,PENDING,2026-02-12T14:00:00
1,25,RETURN,8,PROCESSING,2026-04-19T16:00:00
43,46,RETURN,3,PENDING,2026-03-17T11:00:00
4,38,RESERVE,9,PENDING,2026-03-22T08:00:00
4,38,RETURN,9,COMPLETED,2026-02-10T08:00:00
33,6,BORROW,2,COMPLETED,2026-01-18T11:00:00
26,8,RESERVE,4,COMPLETED,2026-06-02T08:00:00
40,6,RETURN,10,COMPLETED,2026-05-14T13:00:00
17,14,RESERVE,6,PENDING,2026-03-09T14:00:00
9,43,RESERVE,5,PROCESSING,2026-03-22T09:00:00
1,30,RESERVE,10,PENDING,2026-01-19T16:00:00
14,33,RETURN,3,PROCESSING,2026-01-18T11:00:00
24,19,BORROW,8,COMPLETED,2026-06-30T12:00:00
40,42,RESERVE,1,COMPLETED,2026-05-22T12:00:00
43,7,BORROW,5,PENDING,2026-01-28T16:00:00
10,18,RETURN,10,PENDING,2026-03-29T11:00:00
44,41,RETURN,9,PROCESSING,2026-03-06T08:00:00
6,41,RETURN,5,PENDING,2026-01-01T13:00:00
50,9,RESERVE,5,PENDING,2026-04-24T16:00:00
46,28,RESERVE,1,PENDING,2026-01-20T10:00:00
35,3,RETURN,10,COMPLETED,2026-02-07T14:00:00
9,3,RETURN,6,PENDING,2026-04-02T11:00:00
44,16,RESERVE,2,PROCESSING,2026-05-24T14:00:00
40,48,BORROW,4,PENDING,2026-02-15T14:00:00
2,12,RESERVE,6,PROCESSING,2026-06-21T11:00:00
18,11,RESERVE,2,PROCESSING,2026-01-10T15:00:00
15,13,RETURN,6,PROCESSING,2026-02-28T11:00:00
2,43,BORROW,7,PROCESSING,2026-03-13T09:00:00
50,18,RETURN,9,PROCESSING,2026-06-23T16:00:00
22,2,BORROW,5,PENDING,2026-05-29T12:00:00
3,7,RESERVE,7,PROCESSING,2026-03-22T14:00:00
39,33,BORROW,7,COMPLETED,2026-02-18T12:00:00
3,46,RETURN,1,COMPLETED,2026-05-18T11:00:00
24,28,BORROW,6,COMPLETED,2026-03-22T09:00:00
47,20,RESERVE,5,COMPLETED,2026-04-15T13:00:00
26,45,RETURN,9,PENDING,2026-02-19T14:00:00
43,25,RESERVE,3,COMPLETED,2026-05-26T12:00:00
26,36,BORROW,5,PROCESSING,2026-02-23T14:00:00
38,39,RESERVE,6,PROCESSING,2026-04-24T15:00:00
44,14,RESERVE,8,COMPLETED,2026-02-13T09:00:00
19,33,RESERVE,10,PROCESSING,2026-01-24T11:00:00
44,20,BORROW,4,PENDING,2026-01-07T08:00:00
16,31,RESERVE,2,PROCESSING,2026-04-17T11:00:00
46,45,RETURN,8,PROCESSING,2026-03-04T10:00:00
42,45,BORROW,2,PROCESSING,2026-02-26T10:00:00
45,34,RETURN,1,COMPLETED,2026-03-05T09:00:00
30,9,RETURN,9,COMPLETED,2026-06-02T13:00:00
49,29,RESERVE,9,PROCESSING,2026-05-21T15:00:00
11,48,RETURN,8,PROCESSING,2026-03-05T12:00:00
50,50,RESERVE,8,COMPLETED,2026-03-03T12:00:00
29,5,RESERVE,5,PENDING,2026-03-11T13:00:00
21,35,BORROW,3,PENDING,2026-03-01T14:00:00
45,10,RESERVE,4,PENDING,2026-04-17T14:00:00
22,35,RETURN,7,PENDING,2026-02-22T14:00:00
25,50,RESERVE,1,COMPLETED,2026-04-08T15:00:00
1,23,RETURN,7,PROCESSING,2026-05-18T16:00:00
39,15,RETURN,4,PROCESSING,2026-04-22T15:00:00
2,25,RETURN,7,COMPLETED,2026-02-12T15:00:00
9,40,RESERVE,1,PROCESSING,2026-06-01T08:00:00
6,42,RETURN,3,PROCESSING,2026-02-16T08:00:00
17,25,RETURN,4,PROCESSING,2026-03-25T13:00:00
49,25,RETURN,7,PROCESSING,2026-01-21T15:00:00
2,48,RESERVE,1,PROCESSING,2026-02-27T09:00:00
50,42,BORROW,1,PENDING,2026-02-21T08:00:00
40,10,BORROW,3,PROCESSING,2026-06-21T09:00:00
37,14,RETURN,5,PROCESSING,2026-02-12T09:00:00
50,11,RETURN,2,COMPLETED,2026-01-07T12:00:00
37,44,RETURN,7,COMPLETED,2026-02-20T09:00:00
38,45,RESERVE,4,PENDING,2026-06-28T12:00:00
44,39,BORROW,10,PENDING,2026-03-30T16:00:00
